"ref_area.label","source.label","indicator.label","sex.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Bulgaria","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2023",40.11,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2023",39.78,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2022",40.23,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2022",39.87,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2021",40.5,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2021",40.07,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2020",40.51,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2020",40,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2019",40.66,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2019",40.06,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2018",40.9,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2018",40.31,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2017",40.95,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2017",40.25,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2016",40.92,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2016",40.4,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2015",40.91,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2015",40.29,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bahamas","LFS - Labour Force & Household Survey","Mean weekly hours usually worked per employee by sex","Male","2019",40.67,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bahamas","LFS - Labour Force & Household Survey","Mean weekly hours usually worked per employee by sex","Female","2019",39.02,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2024",41.74,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2024",41.49,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2023",41.95,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2023",41.7,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2022",42.04,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2022",41.62,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2021",42.04,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2021",41.26,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2020",41.87,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2020",41.14,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers"
